Time: 0.020983
X,Y,UX,UY,Rho,P,E
0.0125,0.815,0,0,0.125,0.1,0.25
0.0125,0.825,0,0,0.125,0.1,0.25
0.0125,0.835,0,0,0.125,0.1,0.25
0.0125,0.845,0,0,0.125,0.1,0.25
0.0125,0.855,0,0,0.125,0.1,0.25
0.0125,0.865,0,0,0.125,0.1,0.25
0.0125,0.875,0,0,0.125,0.1,0.25
0.0125,0.885,0,0,0.125,0.1,0.25
0.0125,0.895,0,0,0.125,0.1,0.25
0.0125,0.905,0,0,0.125,0.1,0.25
0.0125,0.915,0,0,0.125,0.1,0.25
0.0125,0.925,0,0,0.125,0.1,0.25
0.0125,0.935,0,0,0.125,0.1,0.25
0.0125,0.945,0,0,0.125,0.1,0.25
0.0125,0.955,0,0,0.125,0.1,0.25
0.0125,0.965,0,0,0.125,0.1,0.25
0.0125,0.975,0,0,0.125,0.1,0.25
0.0125,0.985,0,0,0.125,0.1,0.25
0.0125,0.995,0,0,0.125,0.1,0.25
0.0175,0.005,0,0,1,1,2.5
0.0175,0.015,0,0,1,1,2.5
0.0175,0.025,0,0,1,1,2.5
0.0175,0.035,0,0,1,1,2.5
0.0175,0.045,0,0,1,1,2.5
0.0175,0.055,0,0,1,1,2.5
0.0175,0.065,0,0,1,1,2.5
0.0175,0.075,0,0,1,1,2.5
0.0175,0.085,0,0,1,1,2.5
0.0175,0.095,0,0,1,1,2.5
0.0175,0.105,0,0,1,1,2.5
0.0175,0.115,0,0,1,1,2.5
0.0175,0.125,0,0,1,1,2.5
0.0175,0.135,0,0,1,1,2.5
0.0175,0.145,0,0,1,1,2.5
0.0175,0.155,0,0,1,1,2.5
0.0175,0.165,0,0,1,1,2.5
0.0175,0.175,0,0,1,1,2.5
0.0175,0.185,0,0,1,1,2.5
0.0175,0.195,0,0,1,1,2.5
0.0175,0.205,0,0,1,1,2.5
0.0175,0.215,0,0,1,1,2.5
0.0175,0.225,0,0,1,1,2.5
0.0175,0.235,0,0,1,1,2.5
0.0175,0.245,0,0,1,1,2.5
0.0175,0.255,0,0,1,1,2.5
0.0175,0.265,0,0,1,1,2.5
0.0175,0.275,0,0,1,1,2.5
0.0175,0.285,0,0,1,1,2.5
0.0175,0.295,0,0,1,1,2.5
0.0175,0.305,0,0,1,1,2.5
0.0175,0.315,0,0,1,1,2.5
0.0175,0.325,0,0,1,1,2.5
0.0175,0.335,0,0,1,1,2.5
0.0175,0.345,0,0,1,1,2.5
0.0175,0.355,0,0,1,1,2.5
0.0175,0.365,0,0,1,1,2.5
0.0175,0.375,0,0,1,1,2.5
0.0175,0.385,0,0,1,1,2.5
0.0175,0.395,0,0,1,1,2.5
0.0175,0.405,0,4.00818e-09,1,1,2.5
0.0175,0.415,0,2.39662e-07,1,1,2.5
0.0175,0.425,0,6.40574e-06,0.999995,0.999992,2.49998
0.0175,0.435,0,0.000100518,0.999915,0.999881,2.4997
0.0175,0.445,1.28691e-07,0.00102181,0.999136,0.998792,2.49698
0.0175,0.455,4.16325e-06,0.00702332,0.994066,0.991717,2.47932
0.0175,0.465,5.47573e-05,0.0335264,0.971799,0.960953,2.40293
0.0175,0.475,0.000382774,0.115701,0.904534,0.870484,2.18226
0.0175,0.485,0.00157963,0.309319,0.757584,0.684752,1.74812
0.0175,0.495,0.00291647,0.601754,0.586773,0.491177,1.33418
0.0175,0.505,0.00287979,0.964209,0.381142,0.281195,0.880162
0.0175,0.515,-0.00188964,0.916432,0.359961,0.299575,0.900095
0.0175,0.525,-0.00389393,0.885508,0.296901,0.288074,0.836591
0.0175,0.535,-0.00282307,0.710133,0.219844,0.235358,0.643828
0.0175,0.545,-0.000240334,0.235771,0.151931,0.134849,0.341346
0.0175,0.555,-3.07906e-06,0.0267528,0.128115,0.10357,0.25897
0.0175,0.565,2.04673e-10,0.0017445,0.125206,0.100231,0.250577
0.0175,0.575,0,7.8832e-05,0.125009,0.10001,0.250026
0.0175,0.585,0,2.23115e-06,0.125,0.1,0.250001
0.0175,0.595,0,2.93836e-08,0.125,0.1,0.25
0.0175,0.605,0,0,0.125,0.1,0.25
0.0175,0.615,0,0,0.125,0.1,0.25
0.0175,0.625,0,0,0.125,0.1,0.25
0.0175,0.635,0,0,0.125,0.1,0.25
0.0175,0.645,0,0,0.125,0.1,0.25
0.0175,0.655,0,0,0.125,0.1,0.25
0.0175,0.665,0,0,0.125,0.1,0.25
0.0175,0.675,0,0,0.125,0.1,0.25
0.0175,0.685,0,0,0.125,0.1,0.25
0.0175,0.695,0,0,0.125,0.1,0.25
0.0175,0.705,0,0,0.125,0.1,0.25
0.0175,0.715,0,0,0.125,0.1,0.25
0.0175,0.725,0,0,0.125,0.1,0.25
0.0175,0.735,0,0,0.125,0.1,0.25
0.0175,0.745,0,0,0.125,0.1,0.25
0.0175,0.755,0,0,0.125,0.1,0.25
0.0175,0.765,0,0,0.125,0.1,0.25
0.0175,0.775,0,0,0.125,0.1,0.25
0.0175,0.785,0,0,0.125,0.1,0.25
0.0175,0.795,0,0,0.125,0.1,0.25
0.0175,0.805,0,0,0.125,0.1,0.25
0.0175,0.815,0,0,0.125,0.1,0.25
0.0175,0.825,0,0,0.125,0.1,0.25
0.0175,0.835,0,0,0.125,0.1,0.25
0.0175,0.845,0,0,0.125,0.1,0.25
0.0175,0.855,0,0,0.125,0.1,0.25
0.0175,0.865,0,0,0.125,0.1,0.25
0.0175,0.875,0,0,0.125,0.1,0.25
0.0175,0.885,0,0,0.125,0.1,0.25
0.0175,0.895,0,0,0.125,0.1,0.25
0.0175,0.905,0,0,0.125,0.1,0.25
0.0175,0.915,0,0,0.125,0.1,0.25
0.0175,0.925,0,0,0.125,0.1,0.25
0.0175,0.935,0,0,0.125,0.1,0.25
0.0175,0.945,0,0,0.125,0.1,0.25
0.0175,0.955,0,0,0.125,0.1,0.25
0.0175,0.965,0,0,0.125,0.1,0.25
0.0175,0.975,0,0,0.125,0.1,0.25
0.0175,0.985,0,0,0.125,0.1,0.25
0.0175,0.995,0,0,0.125,0.1,0.25
0.0225,0.005,0,0,1,1,2.5
0.0225,0.015,0,0,1,1,2.5
0.0225,0.025,0,0,1,1,2.5
0.0225,0.035,0,0,1,1,2.5
0.0225,0.045,0,0,1,1,2.5
0.0225,0.055,0,0,1,1,2.5
0.0225,0.065,0,0,1,1,2.5
0.0225,0.075,0,0,1,1,2.5
0.0225,0.085,0,0,1,1,2.5
0.0225,0.095,0,0,1,1,2.5
0.0225,0.105,0,0,1,1,2.5
0.0225,0.115,0,0,1,1,2.5
0.0225,0.125,0,0,1,1,2.5
0.0225,0.135,0,0,1,1,2.5
0.0225,0.145,0,0,1,1,2.5
0.0225,0.155,0,0,1,1,2.5
0.0225,0.165,0,0,1,1,2.5
0.0225,0.175,0,0,1,1,2.5
0.0225,0.185,0,0,1,1,2.5
0.0225,0.195,0,0,1,1,2.5
0.0225,0.205,0,0,1,1,2.5
0.0225,0.215,0,0,1,1,2.5
0.0225,0.225,0,0,1,1,2.5
0.0225,0.235,0,0,1,1,2.5
0.0225,0.245,0,0,1,1,2.5
0.0225,0.255,0,0,1,1,2.5
0.0225,0.265,0,0,1,1,2.5
0.0225,0.275,0,0,1,1,2.5
0.0225,0.285,0,0,1,1,2.5
0.0225,0.295,0,0,1,1,2.5
0.0225,0.305,0,0,1,1,2.5
