Time,X,Rho,P,U,W
0.000223,9.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,9.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,9.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,9.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,9.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,9.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,9.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,9.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,10.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,10.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,10.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,10.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,10.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,10.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,10.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,10.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,10.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,10.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,11.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,11.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,11.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,11.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,11.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,11.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,11.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,11.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,11.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,11.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,12.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,12.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,12.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,12.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,12.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,12.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,12.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,12.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,12.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,12.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,13.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,13.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,13.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,13.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,13.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,13.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,13.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,13.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,13.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,13.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,14.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,14.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,14.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,14.361850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,14.451517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,14.550000,31.132705,21900830.245531,104.624290,0.000000
0.000223,14.648483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,14.738150,35.569998,26274397.437976,30.991659,0.000000
0.000223,14.861850,35.570000,26274399.639364,-0.000011,0.000000
0.000223,14.951517,79.086879,72361472.607224,-30.991788,0.000000
0.000223,15.050000,31.132705,21900830.245531,104.624290,0.000000
0.000223,15.148483,79.086901,72361495.901234,-104.624150,0.000000
0.000223,15.238150,35.569998,26274397.437976,30.991659,0.000000
0.000223,15.361850,35.570000,26274399.639414,-0.000011,0.000000
0.000223,15.451517,79.086879,72361472.625512,-30.991788,0.000000
0.000223,15.550000,31.132706,21900831.180004,104.624288,0.000000
0.000223,15.648483,79.087013,72361626.891202,-104.624439,0.000000
0.000223,15.738144,35.573260,26277863.995577,30.984056,0.000000
0.000223,15.861484,35.775075,26501323.772451,-0.770688,0.000000
0.000223,15.949924,81.648862,75580103.107024,-57.296909,0.000000
0.000223,16.036478,36.907077,27722260.368174,50.739271,0.000000
0.000223,16.150000,40.806453,31835900.019794,-92.372034,0.000000
0.000223,16.263514,36.912162,27728371.599879,92.355677,0.000000
0.000223,16.349998,81.835833,75811159.429895,-51.651543,0.000000
0.000223,16.436373,36.979993,27805235.409835,51.391149,0.000000
0.000223,16.547932,42.252554,33377019.060961,-101.462604,0.000000
0.000223,16.652068,42.252555,33377019.908383,-0.000002,0.000000
0.000223,16.763627,36.980072,27805333.990048,101.462381,0.000000
0.000223,16.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,16.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,17.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,17.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,17.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,17.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,17.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,17.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,17.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,17.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,17.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,17.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,18.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,18.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,18.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,18.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,18.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,18.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,18.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,18.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,18.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,18.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,19.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,19.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,19.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,19.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,19.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,19.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,19.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,19.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,19.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,19.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,20.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,20.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,20.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,20.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,20.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,20.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,20.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,20.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,20.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,20.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,21.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,21.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,21.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,21.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,21.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,21.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,21.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,21.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,21.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,21.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,22.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,22.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,22.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,22.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,22.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,22.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,22.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,22.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,22.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,22.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,23.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,23.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,23.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,23.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,23.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,23.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,23.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,23.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,23.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,23.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,24.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,24.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,24.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,24.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,24.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,24.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,24.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,24.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,24.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,24.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,25.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,25.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,25.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,25.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,25.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,25.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,25.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,25.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,25.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,25.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,26.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,26.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,26.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,26.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,26.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,26.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,26.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,26.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,26.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,26.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,27.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,27.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,27.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,27.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,27.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,27.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,27.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,27.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,27.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,27.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,28.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,28.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,28.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,28.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,28.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,28.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,28.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,28.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,28.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,28.936373,36.980072,27805334.024393,51.410161,0.000000
0.000223,29.047932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,29.152068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,29.263627,36.980072,27805333.990067,101.462381,0.000000
0.000223,29.350000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,29.436373,36.980072,27805334.024393,51.410161,0.000000
0.000223,29.547932,42.252555,33377019.892099,-101.462393,0.000000
0.000223,29.652068,42.252555,33377019.913067,-0.000000,0.000000
0.000223,29.763627,36.980072,27805333.990067,101.462381,0.000000
0.000223,29.850000,81.841333,75817888.407987,-51.410149,0.000000
0.000223,29.936373,36.980072,27805334.024393,51.410161,0.000000
