Time,X,Rho,P,U,W
0.000222,13.738138,35.563053,26266310.403244,21.338480,0.000000
0.000222,13.861862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,13.951484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,14.050000,31.092467,21848139.347131,94.052311,0.000000
0.000222,14.148516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,14.238138,35.563053,26266310.403244,21.338480,0.000000
0.000222,14.361862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,14.451484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,14.550000,31.092467,21848139.347131,94.052311,0.000000
0.000222,14.648516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,14.738138,35.563053,26266310.403244,21.338480,0.000000
0.000222,14.861862,35.563055,26266312.570182,-0.000010,0.000000
0.000222,14.951484,79.251562,72552352.230767,-21.338614,0.000000
0.000222,15.050000,31.092467,21848139.347131,94.052311,0.000000
0.000222,15.148516,79.251584,72552375.219596,-94.052166,0.000000
0.000222,15.238138,35.563053,26266310.403244,21.338480,0.000000
0.000222,15.361862,35.563055,26266312.570224,-0.000010,0.000000
0.000222,15.451484,79.251562,72552352.247150,-21.338614,0.000000
0.000222,15.550000,31.092467,21848140.190091,94.052309,0.000000
0.000222,15.648516,79.251686,72552496.861913,-94.052429,0.000000
0.000222,15.738133,35.566117,26269543.016292,21.331550,0.000000
0.000222,15.861508,35.761300,26485149.823791,-0.724831,0.000000
0.000222,15.949927,81.785774,75741301.696083,-47.020771,0.000000
0.000222,16.036499,36.867897,27675530.561848,40.715017,0.000000
0.000222,16.150000,40.870541,31904612.059945,-91.499965,0.000000
0.000222,16.263493,36.872722,27681307.183698,91.484850,0.000000
0.000222,16.349998,81.966484,75965281.009128,-41.580999,0.000000
0.000222,16.436398,36.937926,27754849.868607,41.336310,0.000000
0.000222,16.547979,42.290229,33418190.490764,-100.288355,0.000000
0.000222,16.652021,42.290229,33418191.263126,-0.000001,0.000000
0.000222,16.763602,36.938000,27754941.270137,100.288153,0.000000
0.000222,16.850000,81.971698,75971687.452688,-41.353960,0.000000
0.000222,16.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,17.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,17.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,17.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,17.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,17.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,17.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,17.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,17.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,17.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,17.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,18.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,18.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,18.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,18.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,18.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,18.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,18.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,18.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,18.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,18.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,19.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,19.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,19.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,19.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,19.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,19.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,19.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,19.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,19.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,19.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,20.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,20.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,20.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,20.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,20.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,20.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,20.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,20.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,20.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,20.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,21.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,21.152021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,21.263602,36.938000,27754941.270154,100.288153,0.000000
0.000222,21.350000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,21.436398,36.938000,27754941.297779,41.353971,0.000000
0.000222,21.547979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,21.652021,42.290229,33418191.267316,-0.000000,0.000000
0.000222,21.763602,36.938000,27754941.270154,100.288153,0.000000
0.000222,21.850000,81.971698,75971687.452689,-41.353960,0.000000
0.000222,21.936398,36.938000,27754941.297779,41.353971,0.000000
0.000222,22.047979,42.290229,33418191.250523,-100.288164,0.000000
0.000222,22.152021,42.290229,33418191.267316,-0.000000,0.000000
